Árvore gerada por busca
Vértice: 376, Pai: 516, Distância: 2.64
Vértice: 377, Pai: 799, Distância: 2.51
Vértice: 378, Pai: 9818, Distância: 1.86
Vértice: 379, Pai: 7408, Distância: 2.28
Vértice: 380, Pai: 6050, Distância: 2.14
Vértice: 381, Pai: 106, Distância: 1.21
Vértice: 382, Pai: 7024, Distância: 2.07
Vértice: 383, Pai: 1790, Distância: 1.86
Vértice: 384, Pai: 6219, Distância: 2.35
Vértice: 385, Pai: 4625, Distância: 2.27
Vértice: 386, Pai: 4125, Distância: 2.02
Vértice: 387, Pai: 60, Distância: 1.8
Vértice: 388, Pai: 9210, Distância: 2.67
Vértice: 389, Pai: 7102, Distância: 2.8
Vértice: 390, Pai: 2424, Distância: 2.19
Vértice: 391, Pai: 5607, Distância: 2.27
Vértice: 392, Pai: 848, Distância: 2.28
Vértice: 393, Pai: 2439, Distância: 2.06
Vértice: 394, Pai: 6824, Distância: 2.2
Vértice: 395, Pai: 8043, Distância: 2.15
Vértice: 396, Pai: 6682, Distância: 2
Vértice: 397, Pai: 8885, Distância: 1.87
Vértice: 398, Pai: 7230, Distância: 1.87
Vértice: 399, Pai: 386, Distância: 2.33
Vértice: 400, Pai: 5453, Distância: 2.4
Vértice: 401, Pai: 716, Distância: 1.97
Vértice: 402, Pai: 9175, Distância: 3.18
Vértice: 403, Pai: 1080, Distância: 2.52
Vértice: 404, Pai: 3799, Distância: 1.67
Vértice: 405, Pai: 883, Distância: 3.22
Vértice: 406, Pai: 449, Distância: 2.11
Vértice: 407, Pai: 6776, Distância: 2.21
Vértice: 408, Pai: 6220, Distância: 2.64
Vértice: 409, Pai: 9256, Distância: 2.23
Vértice: 410, Pai: 9416, Distância: 2.07
Vértice: 411, Pai: 5018, Distância: 1.89
Vértice: 412, Pai: 5318, Distância: 2.58
Vértice: 413, Pai: 945, Distância: 1.95
Vértice: 414, Pai: 266, Distância: 2.98
Vértice: 415, Pai: 4184, Distância: 1.69
Vértice: 416, Pai: 3465, Distância: 1.73
Vértice: 417, Pai: 8346, Distância: 2.16
Vértice: 418, Pai: 3588, Distância: 3.03
Vértice: 419, Pai: 3273, Distância: 2.46
Vértice: 420, Pai: 7136, Distância: 1.98
Vértice: 421, Pai: 3158, Distância: 1.82
Vértice: 422, Pai: 6233, Distância: 1.19
Vértice: 423, Pai: 9193, Distância: 2.48
Vértice: 424, Pai: 3809, Distância: 1.92
Vértice: 425, Pai: 6687, Distância: 2.2
Vértice: 426, Pai: 2802, Distância: 2.25
Vértice: 427, Pai: 5198, Distância: 2.4
Vértice: 428, Pai: 7567, Distância: 3.29
Vértice: 429, Pai: 4127, Distância: 1.88
Vértice: 430, Pai: 6256, Distância: 1.68
Vértice: 431, Pai: 6470, Distância: 1.94
Vértice: 432, Pai: 2569, Distância: 1.98
Vértice: 433, Pai: 5784, Distância: 3
Vértice: 434, Pai: 7167, Distância: 2.6
Vértice: 435, Pai: 8299, Distância: 1.82
Vértice: 436, Pai: 3225, Distância: 2.62
Vértice: 437, Pai: 1971, Distância: 1.83
Vértice: 438, Pai: 8810, Distância: 2.1
Vértice: 439, Pai: 6564, Distância: 2.42
Vértice: 440, Pai: 6804, Distância: 1.95
Vértice: 441, Pai: 7075, Distância: 2.54
Vértice: 442, Pai: 6830, Distância: 2.76
Vértice: 443, Pai: 1232, Distância: 2.53
Vértice: 444, Pai: 3978, Distância: 2.83
Vértice: 445, Pai: 4322, Distância: 2.66
Vértice: 446, Pai: 1630, Distância: 2.18
Vértice: 447, Pai: 1122, Distância: 2.36
Vértice: 448, Pai: 4932, Distância: 2.71
Vértice: 449, Pai: 8169, Distância: 1.77
Vértice: 450, Pai: 6182, Distância: 1.53
Vértice: 451, Pai: 5807, Distância: 1.99
Vértice: 452, Pai: 680, Distância: 1.69
Vértice: 453, Pai: 1700, Distância: 1.74
Vértice: 454, Pai: 1902, Distância: 1.68
Vértice: 455, Pai: 7431, Distância: 2.14
Vértice: 456, Pai: 5957, Distância: 2.21
Vértice: 457, Pai: 1162, Distância: 2.11
Vértice: 458, Pai: 6811, Distância: 2.58
Vértice: 459, Pai: 7621, Distância: 2.2
Vértice: 460, Pai: 6476, Distância: 2.2
Vértice: 461, Pai: 9379, Distância: 1.69
Vértice: 462, Pai: 5276, Distância: 2.04
Vértice: 463, Pai: 411, Distância: 2.43
Vértice: 464, Pai: 6659, Distância: 2.08
Vértice: 465, Pai: 8841, Distância: 1.75
Vértice: 466, Pai: 6441, Distância: 3.21
Vértice: 467, Pai: 9961, Distância: 2.24
Vértice: 468, Pai: 8230, Distância: 3.28
Vértice: 469, Pai: 5148, Distância: 2.51
Vértice: 470, Pai: 6030, Distância: 2.04
Vértice: 471, Pai: 5413, Distância: 2.36
Vértice: 472, Pai: 9254, Distância: 1.88
Vértice: 473, Pai: 2768, Distância: 2.37
Vértice: 474, Pai: 4643, Distância: 2.14
Vértice: 475, Pai: 4508, Distância: 2.16
Vértice: 476, Pai: 4203, Distância: 2.19
Vértice: 477, Pai: 4547, Distância: 2.5
Vértice: 478, Pai: 9524, Distância: 2.58
Vértice: 479, Pai: 9851, Distância: 1.57
Vértice: 480, Pai: 7302, Distância: 2.54
Vértice: 481, Pai: 7602, Distância: 1.78
Vértice: 482, Pai: 8114, Distância: 1.26
Vértice: 483, Pai: 481, Distância: 2.18
Vértice: 484, Pai: 1271, Distância: 2.56
Vértice: 485, Pai: 2507, Distância: 2.24
Vértice: 486, Pai: 4644, Distância: 2.05
Vértice: 487, Pai: 7516, Distância: 1.86
Vértice: 488, Pai: 106, Distância: 0.99
Vértice: 489, Pai: 5361, Distância: 2.12
Vértice: 490, Pai: 2950, Distância: 2.08
Vértice: 491, Pai: 346, Distância: 1.94
Vértice: 492, Pai: 6966, Distância: 2.08
Vértice: 493, Pai: 892, Distância: 2.56
Vértice: 494, Pai: 5949, Distância: 2.02
Vértice: 495, Pai: 9637, Distância: 2.01
Vértice: 496, Pai: 7202, Distância: 2.24
Vértice: 497, Pai: 9899, Distância: 2.35
Vértice: 498, Pai: 6316, Distância: 3.14
Vértice: 499, Pai: 3069, Distância: 2.4
Vértice: 500, Pai: 9081, Distância: 1.95
Vértice: 501, Pai: 4079, Distância: 1.26
Vértice: 502, Pai: 3131, Distância: 2.1
Vértice: 503, Pai: 7407, Distância: 2.1
Vértice: 504, Pai: 511, Distância: 2.22
Vértice: 505, Pai: 586, Distância: 2.04
Vértice: 506, Pai: 9588, Distância: 1.67
Vértice: 507, Pai: 7501, Distância: 1.63
Vértice: 508, Pai: 1886, Distância: 2.53
Vértice: 509, Pai: 7436, Distância: 2.21
Vértice: 510, Pai: 6620, Distância: 2.01
Vértice: 511, Pai: 4159, Distância: 1.76
Vértice: 512, Pai: 7675, Distância: 1.86
Vértice: 513, Pai: 4578, Distância: 2.57
Vértice: 514, Pai: 8171, Distância: 2.61
Vértice: 515, Pai: 9931, Distância: 2.16
Vértice: 516, Pai: 727, Distância: 1.92
Vértice: 517, Pai: 7501, Distância: 1.75
Vértice: 518, Pai: 6780, Distância: 2.54
Vértice: 519, Pai: 1601, Distância: 1.68
Vértice: 520, Pai: 9727, Distância: 2.13
Vértice: 521, Pai: 1622, Distância: 2.39
Vértice: 522, Pai: 5600, Distância: 2.35
Vértice: 523, Pai: 9050, Distância: 2.52
Vértice: 524, Pai: 7790, Distância: 2.3
Vértice: 525, Pai: 241, Distância: 2.02
Vértice: 526, Pai: 4457, Distância: 2.17
Vértice: 527, Pai: 3779, Distância: 1.23
Vértice: 528, Pai: 7585, Distância: 1.76
Vértice: 529, Pai: 7950, Distância: 2.15
Vértice: 530, Pai: 1273, Distância: 1.97
Vértice: 531, Pai: 3144, Distância: 2.58
Vértice: 532, Pai: 5903, Distância: 1.51
Vértice: 533, Pai: 9911, Distância: 1.31
Vértice: 534, Pai: 5093, Distância: 2.07
Vértice: 535, Pai: 4551, Distância: 2.21
Vértice: 536, Pai: 9788, Distância: 2.3
Vértice: 537, Pai: 4061, Distância: 1.11
Vértice: 538, Pai: 5308, Distância: 2.8
Vértice: 539, Pai: 8610, Distância: 1.78
Vértice: 540, Pai: 8629, Distância: 2.58
Vértice: 541, Pai: 3083, Distância: 2.22
Vértice: 542, Pai: 4713, Distância: 2.22
Vértice: 543, Pai: 9844, Distância: 2.06
Vértice: 544, Pai: 7296, Distância: 1.65
Vértice: 545, Pai: 229, Distância: 2
Vértice: 546, Pai: 8299, Distância: 1.61
Vértice: 547, Pai: 8111, Distância: 1.91
Vértice: 548, Pai: 7132, Distância: 1.79
Vértice: 549, Pai: 6598, Distância: 1.82
Vértice: 550, Pai: 9176, Distância: 2.1
Vértice: 551, Pai: 6391, Distância: 2.61
Vértice: 552, Pai: 2258, Distância: 1.52
Vértice: 553, Pai: 3042, Distância: 1.7
Vértice: 554, Pai: 8606, Distância: 1.89
Vértice: 555, Pai: 473, Distância: 3.58
Vértice: 556, Pai: 7197, Distância: 2.37
Vértice: 557, Pai: 1861, Distância: 2.22
Vértice: 558, Pai: 4375, Distância: 2.61
Vértice: 559, Pai: 9100, Distância: 2.55
Vértice: 560, Pai: 3713, Distância: 1.98
